2.0	20.0	0.6200	0.1800	0.3800	0.9652	2
3.0	20.0	0.6200	0.1800	0.3800	0.9652	2
5.0	20.0	0.6200	0.1800	0.3800	0.9652	2
10.0	20.0	0.6200	0.1800	0.3800	0.9652	2
12.0	20.0	0.6200	0.1800	0.3800	0.9652	2
15.0	20.0	0.6200	0.1800	0.3800	0.9652	2
20.0	20.0	0.6200	0.1800	0.3800	0.9652	2
0.0	0.0	1.0000	0.0000	0.0000	0.9808	3
0.5	0.0	1.0000	0.0000	0.0000	0.9808	3
1.0	0.0	1.0000	0.0000	0.0000	0.9808	3
2.0	0.0	1.0000	0.0000	0.0000	0.9808	3
3.0	0.0	1.0000	0.0000	0.0000	0.9808	3
5.0	0.0	1.0000	0.0000	0.0000	0.9808	3
10.0	0.0	1.0000	0.0000	0.0000	0.9808	3
12.0	0.0	1.0000	0.0000	0.0000	0.9808	3
15.0	0.0	1.0000	0.0000	0.0000	0.9808	3
20.0	0.0	1.0000	0.0000	0.0000	0.9808	3
0.0	1.0	0.9500	0.0400	0.0500	0.9808	3
0.5	1.0	0.9500	0.0400	0.0500	0.9808	3
1.0	1.0	0.9500	0.0400	0.0500	0.9808	3
2.0	1.0	0.9500	0.0400	0.0500	0.9808	3
3.0	1.0	0.9500	0.0400	0.0500	0.9808	3
5.0	1.0	0.9500	0.0400	0.0500	0.9808	3
10.0	1.0	0.9500	0.0400	0.0500	0.9808	3
12.0	1.0	0.9500	0.0400	0.0500	0.9808	3
15.0	1.0	0.9500	0.0400	0.0500	0.9808	3
20.0	1.0	0.9500	0.0400	0.0500	0.9808	3
0.0	2.0	0.9900	0.0000	0.0100	0.9808	3
0.5	2.0	0.9900	0.0000	0.0100	0.9808	3
1.0	2.0	0.9900	0.0000	0.0100	0.9808	3
2.0	2.0	0.9900	0.0000	0.0100	0.9808	3
3.0	2.0	0.9900	0.0000	0.0100	0.9808	3
5.0	2.0	0.9900	0.0000	0.0100	0.9808	3
10.0	2.0	0.9900	0.0000	0.0100	0.9808	3
12.0	2.0	0.9900	0.0000	0.0100	0.9808	3
15.0	2.0	0.9900	0.0000	0.0100	0.9808	3
