0	-1	25	80	-3	1	2	0.01	5	4	0	0	3504590
1	-1	25	80	-3	1	2	0.01	5	4	0	0	3504590
2	-1	25	80	4	1	2	0.01	5	4	0	0	3504590
3	-1	25	80	-3	1	2	0.01	5	4	0	0	3504590
4	-1	25	80	-3	1	2	0.01	5	4	0	0	3504590
5	-1	25	80	-3	1	2	0.01	5	4	0	0	3504590
6	-1	25	80	-3	1	2	0.01	5	4	0	0	3504590
7	-1	25	80	0	1	2	0.01	5	4	0	0	3504590
0	-1	25	80	-3	1	2	0.01	5	4	0	18.35	3504590
1	-1	25	80	-3	1	2	0.01	5	4	0	18.35	3504590
2	-1	25	80	4	1	2	0.01	5	4	0	18.35	3504590
3	-1	25	80	-3	1	2	0.01	5	4	0	18.35	3504590
4	-1	25	80	-3	1	2	0.01	5	4	0	18.35	3504590
5	-1	25	80	-3	1	2	0.01	5	4	0	18.35	3504590
6	-1	25	80	-3	1	2	0.01	5	4	0	18.35	3504590
6	-1	25	80	18.35	1	2	0.01	5	4	0	18.35	3504590
6	-1	25	80	18.35	1	2	0.01	5	4	0	0	3504590
7	-1	25	80	0	1	2	0.01	5	4	0	18.35	3504590
0	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
1	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
2	-1	25	80	4	10	10	0.01	5	4	0	0	3504590
3	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
4	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
5	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
6	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
7	-1	25	80	0	10	10	0.01	5	4	0	0	3504590
7	-1	25	80	0	10	10	0.01	5	4	0	1	3504590
7	-1	25	80	0	10	10	0.01	5	4	0	2	3504590
0	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
1	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
2	-1	25	80	4	10	10	0.01	5	4	0	0	3504590
3	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
4	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
5	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
6	-1	25	80	-3	10	10	0.01	5	4	0	0	3504590
7	-1	25	80	0	10	10	0.01	5	4	0	0	3504590
7	-1	25	80	0	10	10	0.01	5	4	0	1	3504590
7	-1	25	80	0	10	10	0.01	5	4	0	2	3504590
0	-1	25	80	-3	2	10	0.01	5	4	0	0	3504590
1	-1	25	80	-3	2	10	0.01	5	4	0	0	3504590
2	-1	25	80	4	2	10	0.01	5	4	0	0	3504590
3	-1	25	80	-3	2	10	0.01	5	4	0	0	3504590
4	-1	25	80	-3	2	10	0.01	5	4	0	0	3504590
5	-1	25	80	-3	2	10	0.01	5	4	0	0	3504590
6	-1	25	80	-3	2	10	0.01	5	4	0	0	3504590
7	-1	25	80	0	2	10	0.01	5	4	0	0	3504590
7	-1	25	80	0	2	10	0.01	5	4	0	1	3504590
7	-1	25	80	0	2	10	0.01	5	4	0	2	3504590
0	-1	25	80	-3	1	15	0.01	5	4	0	0	3504590
1	-1	25	80	-3	1	15	0.01	5	4	0	0	3504590
2	-1	25	80	4	1	15	0.01	5	4	0	0	3504590
3	-1	25	80	-3	1	15	0.01	5	4	0	0	3504590
4	-1	25	80	-3	1	15	0.01	5	4	0	0	3504590
5	-1	25	80	-3	1	15	0.01	5	4	0	0	3504590
6	-1	25	80	-3	1	15	0.01	5	4	0	0	3504590
7	-1	25	80	0	1	15	0.01	5	4	0	0	3504590
7	-1	25	80	0	1	15	0.01	5	4	0	1	3504590
7	-1	25	80	0	1	15	0.01	5	4	0	2	3504590
2	-1	25	80	4	0	15	0.01	2	4	0	0	2917349
2	-1	25	80	4	0	15	0.01	2	4	0	0	3429149
0	-1	25	80	-3	1	12	0.01	5	4	0	0	3504590
1	-1	25	80	-3	1	12	0.01	5	4	0	0	3504590
2	-1	25	80	4	0.5	12	0.01	5	4	0	0	3504590
3	-1	25	80	-3	0.5	12	0.01	5	4	0	0	3504590
4	-1	25	80	-3	0.5	12	0.01	5	4	0	0	3504590
5	-1	25	80	-3	0.5	12	0.01	5	4	0	0	3504590
6	-1	25	80	-3	0.5	12	0.01	5	4	0	0	3504590
7	-1	25	80	0	0.5	12	0.01	5	4	0	0	3504590
